Date;Stocks;Return
1918.06;1,735.20;-0.005319637
1918.07;1,714.55;-0.011900645
1918.08;1,708.20;-0.003703596
1918.09;1,677.77;-0.017814073
1918.1;1,726.92;0.029294838
1918.11;1,748.69;0.012606259
1918.12;1,703.39;-0.025905106
1919.01;1,702.79;-0.000352239
1919.02;1,751.32;0.028500285
1919.03;1,792.90;0.023742092
1919.04;1,829.29;0.020296726
1919.05;1,942.54;0.061909265
1919.06;2,004.44;0.031865496
1919.07;2,019.89;0.007707888
1919.08;1,861.48;-0.078425063
1919.09;1,889.62;0.015117004
1919.1;1,962.40;0.03851568
1919.11;1,872.21;-0.04595903
1919.12;1,787.56;-0.045213945
1920.01;1,741.49;-0.025772561
1920.02;1,589.70;-0.087160994
1920.03;1,692.79;0.064848714
1920.04;1,637.76;-0.032508462
1920.05;1,520.72;-0.071463462
1920.06;1,480.92;-0.026171813
1920.07;1,494.28;0.009021419
1920.08;1,479.41;-0.009951281
1920.09;1,563.43;0.056792911
1920.1;1,581.82;0.011762599
1920.11;1,517.71;-0.040529264
1920.12;1,419.06;-0.064999242
1921.01;1,521.73;0.072350711
1921.02;1,569.54;0.031418189
1921.03;1,547.15;-0.014265326
1921.04;1,580.41;0.021497592
1921.05;1,674.78;0.059712353
1921.06;1,559.02;-0.069119526
1921.07;1,554.96;-0.0026042
1921.08;1,545.37;-0.006167361
1921.09;1,611.34;0.042688806
1921.1;1,642.80;0.019524123
1921.11;1,750.55;0.065589238
1921.12;1,832.58;0.046859558
1922.01;1,883.32;0.027687741
1922.02;1,934.66;0.02726037
1922.03;2,041.65;0.055301707
1922.04;2,176.10;0.065853599
1922.05;2,271.54;0.043858279
1922.06;2,261.00;-0.004640024
1922.07;2,274.34;0.005900044
1922.08;2,399.42;0.054996175
1922.09;2,473.18;0.030740762
1922.1;2,523.99;0.0205444
1922.11;2,395.75;-0.050808442
1922.12;2,387.66;-0.003376813
1923.01;2,446.36;0.02458474
1923.02;2,562.57;0.047503229
1923.03;2,615.85;0.020791627
1923.04;2,521.24;-0.036167976
1923.05;2,414.07;-0.042506862
1923.06;2,320.52;-0.038751983
1923.07;2,228.49;-0.039659214
1923.08;2,264.78;0.016284569
1923.09;2,277.67;0.005691502
1923.1;2,243.36;-0.01506364
1923.11;2,322.71;0.035371051
1923.12;2,413.75;0.039195595
1924.01;2,505.31;0.037932677
1924.02;2,543.97;0.015431224
1924.03;2,522.67;-0.00837274
1924.04;2,492.22;-0.012070544
1924.05;2,496.57;0.001745432
1924.06;2,557.00;0.02420521
1924.07;2,673.17;0.045432147
1924.08;2,794.68;0.045455396
1924.09;2,765.08;-0.010591553
1924.1;2,726.88;-0.013815152
1924.11;2,892.85;0.060864431
1924.12;3,044.94;0.052574451
1925.01;3,184.66;0.045885962
1925.02;3,244.51;0.018793215
1925.03;3,155.28;-0.027501842
1925.04;3,154.45;-0.000263051
1925.05;3,251.40;0.030734359
1925.06;3,286.32;0.010739989
1925.07;3,353.96;0.020582293
1925.08;3,413.97;0.017892283
1925.09;3,507.73;0.027463627
1925.1;3,638.56;0.037297626
1925.11;3,704.20;0.018040104
1925.12;3,800.85;0.026092004
1926.01;3,874.25;0.01931147
1926.02;3,896.07;0.005632058
1926.03;3,668.06;-0.058523076
1926.04;3,561.86;-0.028952634
1926.05;3,623.41;0.017280297
1926.06;3,834.19;0.058171722
1926.07;4,058.74;0.058565173
1926.08;4,261.59;0.049978565
1926.09;4,319.79;0.013656875
1926.1;4,216.65;-0.023876161
1926.11;4,265.89;0.011677517
1926.12;4,381.51;0.027103371
1927.01;4,421.09;0.009033415
1927.02;4,552.22;0.029660106
1927.03;4,668.75;0.025598499
1927.04;4,803.31;0.028821419
1927.05;4,960.64;0.032754496
1927.06;4,987.95;0.005505338
1927.07;5,207.83;0.044082238
1927.08;5,538.20;0.063437171
1927.09;5,840.23;0.05453577
1927.1;5,739.16;-0.017305825
1927.11;5,925.85;0.032529151
1927.12;6,087.08;0.027207911
1928.01;6,134.05;0.007716343
1928.02;6,154.56;0.003343631
1928.03;6,508.42;0.057495581
1928.04;6,942.22;0.066652121
1928.05;7,139.13;0.028364126
1928.06;6,853.25;-0.040044095
1928.07;6,928.22;0.010939335
1928.08;7,177.22;0.035939967
1928.09;7,617.58;0.061355232
